date,unemp,GDP,gGDP
2016-01-01,4.5,19001.69,0.579519406
2016-04-01,4.5,19062.709,0.321124068
2016-07-01,4.5,19197.938,0.709390255
2016-10-01,4.4,19304.352,0.554299113
2017-01-01,4.2,19398.343,0.48689021
2017-04-01,4,19506.949,0.559872562
2017-07-01,4,19660.766,0.788524131
2017-10-01,3.8,19882.352,1.127046627
2018-01-01,3.7,20044.077,0.813409802
2018-04-01,3.6,20150.476,0.530825141
2018-07-01,3.5,20276.154,0.623697425
2018-10-01,3.5,20304.874,0.141644219
2019-01-01,3.5,20431.641,0.624318082
2019-04-01,3.3,20602.275,0.835145841
2019-07-01,3.3,20843.322,1.170001857
2019-10-01,3.2,20985.448,0.68187787
2020-01-01,3.5,20693.238,-1.392441086
2020-04-01,12.5,19056.617,-7.908965238
2020-07-01,8.5,20548.793,7.83022506
2020-10-01,6.4,20771.691,1.084725512
2021-01-01,5.9,21058.379,1.380186139
2021-04-01,5.7,21389.005,1.570044874
2021-07-01,4.9,21571.421,0.852849396
2021-10-01,3.9,21960.388,1.803158911
2022-01-01,3.6,21903.85,-0.257454468
2022-04-01,3.4,21919.222,0.070179443
2022-07-01,3.2,22066.784,0.673208201
2022-10-01,3.3,22249.459,0.827827925
2023-01-01,3.3,22403.435,0.692043793
2023-04-01,3.3,22539.418,0.606973886
2023-07-01,3.4,22780.933,1.071522787
2023-10-01,3.5,22960.6,0.788672703
2024-01-01,3.5,23053.545,0.404802139
2024-04-01,3.6,23223.906,0.738979623
2024-07-01,3.8,23400.294,0.75951048
2024-10-01,3.8,23542.349,0.607065022
2025-01-01,3.8,23528.047,-0.060750098
2025-04-01,NA,NA,NA
