Date,open,high,low,close,volume,adjusted,rmrf,SMB,HML,RF
2020-12-31,272,277.0899963,269.8099976,273.1600037,12900400,272.599823,0.0463,0.0488,-0.0151,1.00E-04
2021-01-29,265.2999878,266.5599976,254.8500061,258.3299866,30389500,257.8002319,-3.00E-04,0.0737,0.0304,1.00E-04
2021-02-26,256.4700012,265.5499878,256.4700012,257.6199951,26619500,257.0917053,0.0278,0.0206,0.0709,0
2021-03-31,289.9899902,296.5,288.6099854,294.5299988,19498200,293.9259949,0.0308,-0.0236,0.074,0
2021-04-30,326.1400146,329.8200073,324.5,325.0799866,26332400,324.4133301,0.0493,-0.0319,-0.0097,0
2021-05-28,331,332.8699951,328.3299866,328.730011,12037400,328.0558777,0.0029,-0.0021,0.0708,0
2021-06-30,352.1700134,352.9200134,347.1700134,347.7099915,15107500,346.9969482,0.0275,0.0166,-0.0784,0
2021-07-30,354,360.730011,352.9400024,356.2999878,15976200,355.5693359,0.0127,-0.0397,-0.0184,0
2021-08-31,379.9500122,382.7600098,378.7999878,379.3800049,12345400,378.6019897,0.0291,-0.0041,-0.0019,0
2021-09-30,340.4500122,342.7999878,338.1499939,339.3900146,16547100,338.6940308,-0.0437,0.0068,0.0515,0
2021-10-29,320.1900024,326,319.6000061,323.5700073,37059400,322.9064331,0.0665,-0.0235,-0.0045,0
2021-11-30,335,335.8099976,323.4299927,324.4599915,25390000,323.7946167,-0.0155,-0.0131,-0.0044,0
2021-12-31,343.019989,343.4400024,336.269989,336.3500061,12870500,335.6602478,0.031,-0.0168,0.0325,1.00E-04
2022-01-31,300.6799927,313.7900085,299.3200073,313.2600098,21579500,312.6175842,-0.0625,-0.0595,0.1288,0
2022-02-28,207.6799927,213.1499939,206.8300018,211.0299988,34239800,210.597229,-0.0229,0.022,0.0311,0
2022-03-31,228.4499969,228.4900055,222.2599945,222.3600006,24192300,221.904007,0.0305,-0.0162,-0.0181,1.00E-04
2022-04-29,204.4600067,212.4799957,199.8999939,200.4700012,49193400,200.0588989,-0.0946,-0.0139,0.062,1.00E-04
2022-05-31,194.8899994,197.6000061,192.0099945,193.6399994,26131100,193.2429047,-0.0034,-0.0184,0.0848,3.00E-04
